common_name,name,current_resident,dob,birth_type,dod,age,weight,age_at_wt_y
Aye-Aye,Agatha,Y,2017-06-07,captive,NA,1.67,2006,1.54
Aye-Aye,Angelique,N,2005-09-05,captive,2016-10-26,11.15,2820,11.14
Aye-Aye,Annabel Lee,N,1988-05-24,captive,1989-12-09,1.55,1689,1.27
Aye-Aye,Ardrey,Y,1996-04-15,captive,NA,22.83,2860,22.82
Aye-Aye,Ardrey-A,N,2000-12-15,captive,2000-12-20,0.01,91,0.01
Aye-Aye,Ardrey-A,N,2000-12-15,captive,2000-12-20,0.01,98,0.01
Aye-Aye,Bellatrix,N,2007-08-21,captive,NA,11.47,2780,7.25
Aye-Aye,Blue Devil,N,1992-04-06,captive,1998-12-19,6.71,2700,6.62
Aye-Aye,Caliban,N,1994-08-25,captive,NA,24.47,2470,17.18
Aye-Aye,Claudia,N,2005-12-30,captive,NA,13.11,2640,3.79
Aye-Aye,Cruella,N,1993-10-08,captive,1998-12-20,5.2,2480,5.17
Aye-Aye,Elphaba,Y,2011-11-29,captive,NA,7.19,2540,7.16
Aye-Aye,Endora,Y,1983-12-04,wild,NA,35.2,2540,35.12
Aye-Aye,Goblin,N,1992-10-23,captive,1998-02-05,5.29,1740,5.29
Aye-Aye,Grendel,Y,2010-05-23,captive,NA,8.72,2960,8.68
Aye-Aye,Hitchcock,N,2005-02-22,captive,NA,6.92,2520,6.6
Aye-Aye,Ichabod,N,2008-07-23,captive,2016-05-11,7.81,1980,7.8
Aye-Aye,Kali,N,1998-01-06,captive,NA,21.1,2860,17.79
Aye-Aye,Lucrezia,Y,2001-07-30,captive,NA,17.53,3080,17.48
Aye-Aye,Medea,N,2004-09-10,captive,NA,14.42,2460,6.63
Aye-Aye,Medusa,Y,2003-10-14,captive,NA,15.33,2800,15.2
Aye-Aye,Mephistopheles,N,1981-10-08,wild,2014-02-12,32.37,2500,32.37
Aye-Aye,Merlin,N,1994-06-05,captive,2016-10-25,22.41,2880,22.41
Aye-Aye,Morticia,N,1988-11-30,wild,2016-10-26,27.92,2600,27.82
Aye-Aye,Norman Bates,N,2009-04-03,captive,2016-10-25,7.57,2460,7.52
Aye-Aye,Nosferatu,N,1985-12-18,wild,2018-07-30,32.64,2820,32.64
Aye-Aye,Ozma,Y,1985-10-11,wild,NA,33.35,2380,33.27
Aye-Aye,Ozma-A,N,1995-10-22,captive,1995-10-26,0.01,72.4,0.01
Aye-Aye,Ozony Avelo,N,2001-10-25,captive,2015-01-19,13.24,2780,6.6
Aye-Aye,Poe,Y,1986-12-19,wild,NA,32.16,2680,32.12
Aye-Aye,Sabrina,N,2003-09-26,captive,2016-03-29,12.52,2550,4.14
Aye-Aye,Salem,N,2001-09-05,captive,NA,17.43,2500,6.73
Aye-Aye,Samantha,N,1978-08-15,wild,1995-12-20,17.36,2280,17.36
Aye-Aye,Samantha-A,N,1992-12-13,captive,1992-12-14,0,89.6,0
Aye-Aye,Styx,N,2010-09-01,captive,NA,8.3,2060,3.98
Aye-Aye,Tolkein,N,2001-01-07,captive,NA,18.09,2265,8.47
Aye-Aye,Usher (Marvin),N,1998-02-08,captive,2008-11-13,10.77,2300,10.77
Aye-Aye,Warlock,N,1998-06-16,captive,NA,20.66,2500,9.42
Black Lemur,Abas,N,1983-03-13,captive,1994-10-29,11.64,2280,10.63
Black Lemur,Achilles,N,1978-04-01,captive,1996-02-09,17.87,2624,7.62
Black Lemur,Aeson,N,1991-03-22,captive,1991-10-06,0.54,1189,0.54
Black Lemur,Alcaeus,N,1978-03-28,captive,1978-08-18,0.39,953,0.38
Black Lemur,Alcmene,N,1978-03-31,captive,1993-11-11,15.63,2360,15.24
Black Lemur,Andromeda,N,1980-04-01,captive,1994-02-27,13.92,2773,5.62
Black Lemur,Antiope,N,1987-04-08,captive,2006-04-25,19.06,1771,1.19
Black Lemur,Aphrodite,N,1969-05-12,captive,1991-03-18,21.86,2778,15.89
Black Lemur,Aphrodite-D,N,1978-03-31,captive,1978-03-31,0,70.6,0
Black Lemur,Aphrodite-E,N,1978-03-31,captive,1978-03-31,0,69,0
Black Lemur,Ariadne,N,1990-03-08,captive,2011-07-20,21.38,2190,7.17
Black Lemur,Artemis,N,1979-04-22,captive,NA,8.18,3160,5.63
Black Lemur,Athena,N,1979-05-22,captive,1997-06-04,18.05,975,0.33
Black Lemur,Atlas,N,1981-03-25,captive,1990-01-01,8.78,2043,6.71
Black Lemur,Bacchus,N,1983-03-24,captive,2001-10-31,18.62,2147.5,4.82
Black Lemur,Batea,N,1988-04-27,captive,1994-04-18,5.98,2451,2.49
Black Lemur,Belus,N,1983-03-13,captive,1993-04-07,10.08,2110,10.02
Black Lemur,Blanche,N,1981-10-01,wild,2000-08-15,18.88,1980,18.88
Black Lemur,Boreas,N,1981-06-28,captive,1991-08-14,10.13,2106,2
Black Lemur,Cacus,N,1978-03-28,captive,1978-08-23,0.41,895,0.38
Black Lemur,Ceto,N,1974-07-25,captive,1979-02-13,4.56,578,0.23
Black Lemur,Cupid,N,1981-03-01,captive,1998-05-28,17.25,2020,2.28
Black Lemur,Danae,N,1975-05-14,captive,1988-03-03,12.81,3191.5,10.5
Black Lemur,Daphne,N,1984-03-29,captive,2007-07-13,23.3,2280,13.13
Black Lemur,Dardana,N,1989-03-18,captive,2002-09-06,13.48,2390,4.5
Black Lemur,Deucalion,N,1989-03-15,captive,2013-12-26,24.8,2570,24.8
Black Lemur,Dionysus,N,1983-03-24,captive,1996-05-13,13.15,2479,1.68
Black Lemur,Electryon,N,1985-03-25,captive,1998-01-02,12.78,2550,8.48
Black Lemur,Epimetheus,N,1991-03-26,captive,2014-02-06,22.88,2660,12.48
Black Lemur,Eurydice,N,1976-03-02,captive,1987-06-17,11.3,2315,7.64
Black Lemur,Eurydice-C,N,1985-02-17,captive,1985-02-17,0,83,0
Black Lemur,Gasa,N,1976-04-07,captive,1994-11-14,18.62,1416,0.58
Black Lemur,Halcyone,N,1978-09-04,captive,1984-03-29,5.57,2465.5,5.13
Black Lemur,Halcyone-B,N,1984-03-26,captive,1984-03-26,0,74,0
Black Lemur,Halcyone-C,N,1984-03-26,captive,1984-03-26,0,79,0
